,PDF_ID,Title,Publication Year
PDF00131,47747_6799,Adsorption and thermodynamic mechanisms of manganese removal from aqueous media by biowaste-derived biochars,2018
PDF00132,55330_7849,"CO2-spherical activated carbon as a new adsorbent for Methylene Blue removal: Kinetic, equilibrium and thermodynamic studies",2018
PDF00133,69074_9478,Enhanced methylene blue adsorption onto activated reed-derived biochar by tannic acid,2018
PDF00134,55476_8642,Biochar from byproduct to high value added material - A new adsorbent for toxic metal ions removal from aqueous solutions,2018
PDF00135,79882_14761,A quantitative review of the effects of biochar application to soils on crop productivity using meta-analysis,2011
PDF00136,78754_10653,A two years study on the combined effects of biochar and inhibitors on ammonia volatilization in an intensively managed rice field,2018
PDF00137,161632_10638,Microwave-assisted preparation of nitrogen-doped biochars by ammonium acetate activation for adsorption of acid red 18,2017
PDF00138,40564_6285,Effect of biochar on the fate of volatile petroleum hydrocarbons in an aerobic sandy soil,2011
PDF00139,94795_11759,Torrefaction of microalgal biochar as potential coal fuel and application as bio-adsorbent,2018
PDF00140,59563_8024,Comprehensive study on pyrolysis and co-pyrolysis of walnut shell and bio-oil distillation residue,2018
PDF00141,79040_10571,Intermediate pyrolysis of Acacia cincinnata and Acacia holosericea species for bio-oil and biochar production,2018
PDF00142,42719_7065,Effects of biochar and the earthworm Eisenia fetida on the bioavailability of polycyclic aromatic hydrocarbons and potentially toxic elements,2010
PDF00143,44217_5690,Land-use type affects N2O production pathways in subtropical acidic soils,2018
PDF00144,82242_10693,Biochars change the sorption and degradation of thiacloprid in soil: Insights into chemical and biological mechanisms,2018
PDF00145,64684_8383,Isolation and characterization of biochar-derived organic matter fractions and their phenanthrene sorption,2018
PDF00146,64507_8600,A simple slash-and-char system to mitigate climate change and environmental pollution,2018
PDF00147,60918_7688,Remediation effectiveness of Phyllostachys pubescens biochar in reducing the bioavailability and bioaccumulation of metals in sediments,2018
PDF00148,48384_6775,Insight into mechanism of aged biochar for adsorption of PAEs: Reciprocal effects of ageing and coexisting Cd2+,2018
PDF00149,70893_9715,Enhanced bisphenol A removal from stormwater in biochar-amended biofilters: Combined with batch sorption and fixed-bed column studies,2018
PDF00150,64416_8351,Synergistic effects of phosphorus and humic acid on the transport of anatase titanium dioxide nanoparticles in water-saturated porous media,2018
PDF00151,59585_7521,Heterogeneous activation of peroxymonosulfate by a biochar-supported Co3O4 composite for efficient degradation of chloramphenicols,2020
PDF00152,63703_7785,"Mechanism study of Chromium influenced soil remediated by an uptake-detoxification system using hyperaccumulator, resistant microbe consortium, and nano iron complex",2020
PDF00153,56216_8765,Prospective life cycle carbon abatement for pyrolysis biochar systems in the UK,2011
PDF00154,34942_5486,Influence of pyrolysis temperature on production and nutrient properties of wastewater sludge biochar,2010
PDF00155,49126_7350,An Assessment of U(VI) removal from groundwater using biochar produced from hydrothermal carbonization,2011
PDF00156,49761_6798,Chemical characterization of biochar and assessment of the nutrient dynamics by means of preliminary plant growth tests,2018
PDF00157,50466_6940,"Manure from biochar, bentonite and zeolite feed supplemented poultry: Moisture retention and granulation properties",2018
PDF00158,70044_10115,Use of high metal-containing biogas digestates in cereal production&nbsp;-&nbsp;Mobility of chromium and aluminium,2018
PDF00159,66439_8183,Impacts of biochar and oyster shells waste on the immobilization of arsenic in highly contaminated soils,2018
PDF00160,108429_15091,"Improvement in productivity, nutritional quality, and antioxidative defense mechanisms of sunflower (Helianthus annuus L.) and maize (Zea mays L.) in nickel contaminated soil amended with different biochar and zeolite ratios",2018
PDF00161,69128_9006,Effects of biochar on availability and plant uptake of heavy metals – A meta-analysis,2018
PDF00162,58425_7968,"Phenol adsorption on biochar prepared from the pine fruit shells_ Equilibrium, kinetic and thermodynamics studies",2018
PDF00163,52275_7607,Iron impregnated biochars as heterogeneous Fenton catalyst for the degradation of acid red 1 dye,2018
PDF00164,77021_9014,Benefits and limitations of biochar amendment in agricultural soils_ A review,2018
PDF00165,60219_8228,Effect of total solids content on anaerobic digestion of poultry litter with biochar,2020
PDF00166,101649_14360,Agronomic potential of biochar prepared from brewery byproducts,2020
PDF00167,53438_7412,Sorption of hydrophobic organic contaminants on functionalized biochar_ Protagonist role of π-π electron-donor-acceptor interactions and hydrogen bonds,2018
PDF00168,38078_5181,"Cu(II) adsorption on 2-thiouracil-modified Luffa cylindrica biochar fibres from artificial and real samples, and competition reactions with U(VI)",2019
PDF00169,63164_8503,Synergistic oxidation of Bisphenol A in a heterogeneous ultrasound-enhanced sludge biochar catalyst/persulfate process_ Reactivity and mechanism,2019
PDF00170,70979_9478,Novel pectin based composite hydrogel derived from grapefruit peel for enhanced Cu(II) removal,2019
PDF00171,68498_8718,Enhanced passivation of lead with immobilized phosphate solubilizing bacteria beads loaded with biochar/ nanoscale zero valent iron composite,2019
PDF00172,77555_9931,Effects of biochar and organic substrates on biodegradation of polycyclic aromatic hydrocarbons and microbial community structure in PAHs-contaminated soils,2019
PDF00173,61683_8721,A new approach to soil solarization_ Addition of biochar to the effect of soil temperature and quality and yield parameters of lettuce (Lactuca Sativa L. Duna),2017
PDF00174,66424_9903,Faeces deposition on Amazonian Anthrosols as assessed from 5&beta;-stanols,2011
PDF00175,59968_8160,Fuel sensitivity of biomass cookstove performance,2018
PDF00176,37309_4983,A Thermogravimetric study of the characteristics of pyrolysis of cellulose isolated from selected biomass,2018
PDF00177,67555_9436,Codensification of Eucommia ulmoides Oliver stem with pyrolysis oil and char for solid biofuel_ An optimization and characterization study,2018
PDF00178,108656_15326,A comparative life cycle assessment on four waste-to-energy scenarios for food waste generated in eateries,2018
PDF00179,43557_6133,Hydrothermal carbonization of anaerobic granular sludge_ Effect of process temperature on nutrients availability and energy gain from produced hydrochar,2018
PDF00180,91996_13819,Financial viability of biofuel and biochar production from forest biomass in the face of market price volatility and uncertainty,2018
PDF00181,72178_9598,"Simulated CSM-CROPGRO-cotton yield under projected future climate by SimCLIM for southern Punjab, Pakistan",2018
PDF00182,72808_10183,Effect of agronomic treatments on the accuracy of soil moisture mapping by electromagnetic induction,2018
PDF00183,50150_6244,Ameliorating some quality properties of an erosion-prone soil using biochar produced from dairy wastewater sludge,2018
PDF00184,49720_7066,Sustainable hydrogen production options from food wastes,2018
PDF00185,51347_6082,Hydrogen production via steam reforming of acetic acid over biochar-supported nickel catalysts,2018
PDF00186,67769_8936,Influence of impregnated copper and zinc on the pyrolysis of rice husk in a micro-fluidized bed reactor: Characterization and kinetics,2018
PDF00187,79455_10722,Water hyacinth (Eichhornia crassipes) biochar as an alternative cathode electrocatalyst in an air-cathode single chamber microbial fuel cell,2020
PDF00188,56738_7668,A hybrid biological and thermal waste-to-energy system with heat energy recovery and utilization for solid organic waste treatment,2018
PDF00189,66505_9089,Catalytic fast pyrolysis of rice husk for bio-oil production,2018
PDF00190,49254_7115,Biochar contribution in biomass reburning technology and transformation mechanism of its nitrogen foundational groups at different oxygen contents,2018
PDF00191,45863_5867,Variant analysis of the efficiency of industrial scale power station based on DC-SOFCs and DC-MCFCs,2018
PDF00192,64266_8240,Catalytic deoxygenation co-pyrolysis of bamboo wastes and microalgae with biochar catalyst,2018
PDF00193,47893_6761,Effects of transition metals on hydrothermal liquefaction of empty fruit bunches (EFB) for conversion to biofuel and valuable chemicals,2018
PDF00194,54340_7027,Products distribution of catalytic co-pyrolysis of greenhouse vegetable wastes and coal,2018
PDF00195,83554_9675,Effect of ethanol on Mulberry bark hydrothermal liquefaction and bio-oil chemical compositions,2018
PDF00196,67827_9118,Combustion behavior of coal pellets blended with Miscanthus biochar,2018
PDF00197,68810_9242,Comparison study on fuel properties of hydrochars produced from corn stalk and corn stalk digestate,2018
PDF00198,44223_5901,The effects of biochar addition on phosphorus transfer and water utilization efficiency in a vegetable field in Northeast China,2018
PDF00199,52260_6993,Effects of different irrigation and fertilization practices on nitrogen leaching in facility vegetable production in northeastern China,2018
PDF00200,38937_5638,Kinetic compensation effects in the chemical reaction-controlled regime and mass transfer-controlled regime during the gasification of biochar in O2,2018
PDF00201,63567_10560,Catalytic esterification of fatty acids using solid acid catalysts generated from biochar and activated carbon,2012
PDF00202,36780_5478,Degradation of antibiotic sulfamethoxazole by biochar-activated persulfate_ Factors affecting the activation and degradation processes,2018
PDF00203,38419_5181,Sulfonated biochar as acid catalyst for sugar hydrolysis and dehydration,2018
PDF00204,40693_5664,Porous carbon nanospheres with high EDLC capacitance,2018
PDF00205,47431_6066,Biochar-organic amendment mixtures added to simulated golf greens under reduced chemical fertilization increase creeping bentgrass growth,2018
PDF00206,49878_7060,"Modelling the reactions of cellulose, hemicellulose and lignin submitted to hydrothermal treatment",2018
PDF00207,63522_8427,High-efficient adsorption of phosphates from water by hierarchical CuAl/biomass carbon fiber layered double hydroxide,2018
PDF00208,53479_7119,Chromium removal using a magnetic corncob biochar/polypyrrole composite by adsorption combined with reduction_ Reaction pathway and contribution degree,2018
PDF00209,39519_5250,Pb(II) sorption by biochar derived from Cinnamomum camphora and its improvement with ultrasound-assisted alkali activation,2018
PDF00210,36378_4836,Removal of acenaphthene by biochar and raw biomass with coexisting heavy metal and phenanthrene,2018
PDF00211,31138_4951,Material derived from hydrothermal carbonization: Effects on plant growth and arbuscular mycorrhiza,2010
PDF00212,48813_7654,Influences of non-herbaceous biochar on arbuscular mycorrhizal fungal abundances in roots and soils: Results from growth-chamber and field experiments,2010
PDF00213,160542_23451,Use of wood dust fly ash from an industrial pulverized fuel facility for rendering,2018
PDF00214,90527_12814,Effect of biochar on mechanical and permeability properties of concrete exposed to elevated temperature,2020
PDF00215,51968_8189,Pyrolysis biochar systems for recovering biodegradable materials: A life cycle carbon assessment,2012
PDF00216,48653_7215,Torrefaction of landfill food waste for possible application in biomass co-firing,2017
PDF00217,45368_6356,Self-activation of biochar from furfural residues by recycled pyrolysis gas,2018
PDF00218,67478_9769,Agronomic effectiveness of urban biochar aged through co-composting with food waste,2018
PDF00219,43654_6031,Study on the effects of catalysts on the immobilization efficiency and mechanism of heavy metals during the microwave pyrolysis of sludge,2018
PDF00220,68123_10427,Fate of heavy metals and polycyclic aromatic hydrocarbons (PAH) in sewage sludge carbonisates and ashes â€“ A risk assessment to a thermochemical phosphorus-recycling process,2018
PDF00221,103095_14023,Dynamics of labile and stable carbon and priming effects during composting of sludge and lop mixtures amended with low and high amounts of biochar,2018
PDF00222,50588_7068,Effect of hydrochar on anaerobic digestion of dead pig carcass after hydrothermal pretreatment,2018
PDF00223,100523_15392,Characterization and alkaline pretreatment of rice husk varieties in Uganda for potential utilization as precursors in the production of activated carbon and other value-added products,2018
PDF00224,67411_9611,A comparative global assessment of potential negative emissions technologies,2012
PDF00225,152922_12960,"Elucidation of ibuprofen uptake capability of raw and steam activated biochar of Aegle marmelos shell: Isotherm, kinetics, thermodynamics and cost estimation",2018
PDF00226,77893_8568,Process optimization of butachlor bioremediation by Enterobacter cloacae using Plackett Burman design and response surface methodology,2018
PDF00227,108570_8352,Hierarchically porous nitrogen-doped carbon materials as efficient adsorbents for removal of heavy metal ions,2018
PDF00228,133888_13797,Microcosm incubation study for monitoring the mid-term effects of different biochars on acidic sandy soil applying a multiparameter approach,2018
PDF00229,108118_14634,Use of biochar as carbon sequestering additive in cement mortar,2018
PDF00230,87378_12671,Supplying renewable energy for Canadian cement production: Life cycle assessment of bioenergy from forest harvest residues using mobile fast pyrolysis units,2017
PDF00231,59310_8115,Recovery of ammonium and phosphate from urine as value-added fertilizer using wood waste biochar loaded with magnesium oxides,2018
PDF00232,62704_8196,"Effect of pyrolysis condition on the adsorption mechanism of lead, cadmium and copper on tobacco stem biochar",2018
PDF00233,100077_12545,Development of biochar as fuel and catalyst in energy recovery technologies,2018
PDF00234,77176_10156,Silicon (Si) biochar for the mitigation of arsenic (As) bioaccumulation in spinach (Spinacia oleracean) and improvement in the plant growth,2018
PDF00235,73322_9152,Mechanisms of copper stabilization by mineral constituents in sewage sludge biochar,2018
PDF00236,136270_18533,Electricity generation from pyrolysis gas produced in charcoal manufacture: Technical and economic analysis,2018
PDF00237,66447_8450,Are raw materials or composting conditions and time that most influence the maturity and/or quality of composts? Comparison of obtained composts on soil properties,2018
PDF00238,73446_12128,Operational control on environmental safety of potentially toxic elements during thermal conversion of metal-accumulator invasive ragweed to biochar,2018
PDF00239,58536_7446,Adsorption behavior of salicylic acid on biochar as derived from the thermal pyrolysis of barley straws,2018
PDF00240,63270_8584,Life cycle assessment of the environmental impacts and energy efficiency of an integration of sludge anaerobic digestion and pyrolysis,2018
PDF00241,49712_7046,Strength improvement of recycled aggregate concrete through silicon rich char derived from organic waste,2018
PDF00242,57168_8156,Closing nutrient cycles with biochar- from filtration to fertilizer,2018
PDF00243,61103_7964,Using low-cost porous materials to increase biogas production: A case study in Extremadura (Spain),2018
PDF00244,59864_7496,Biodiesel production by a highly effective renewable catalyst from pyrolytic rice husk,2018
PDF00245,71325_9914,Soil organic carbon dynamics in wheat - Green gram crop rotation amended with vermicompost and biochar in combination with inorganic fertilizers: A comparative study,2018
PDF00246,54808_7147,Advanced treatment of piggery tail water by dual coagulation with Na+ zeolite and Mg/Fe chloride and resource utilization of the coagulation sludge for efficient decontamination of Cd2+,2018
PDF00247,77525_10555,A novel approach to assessing the commercial opportunities for greenhouse gas removal technology value chains: Developing the case for a negative emissions credit in the UK,2018
PDF00248,72550_10713,An inexact robust two-stage mixed-integer linear programming approach for crop area planning under uncertainty,2018
PDF00249,61609_7915,Adsorptive separation of Cu(II) ions from aqueous medium using thermally/chemically treated Cassia fistula based biochar,2020
